xx,Site,Season,Date,Time,Depth,Towdist,Towarea,SGcont,perTha,perSyr,perOSG,perTotSG,lenTha,lenSyr,lenOSG,perSand,perAlgae,volAlgae,denAlgae,Secchi,Landist,Edgedist,1*Lhab,2*Lhab,Long,Lat,Segment (BB vs SC),Salinity,Conduct,DO,DOsat,Temp,Notes
1,BB09_001,2009,7/1/2009,8:55,2.1,86,160.82,1,0.1,0,0,0.1,10,NA,NA,0.9,0,0,0,1.2,1.2,0.3,1,2,-83.2081,29.3652,0,,,,,,Thal 10-20cm in small patches
2,BB09_002,2009,7/9/2009,18:00,1.3,34,63.58,2,0.85,0,0,0.85,15,NA,NA,0.15,0,15141.6472,238.1511,1.3,3.3,13.9,1,5,-82.6858,28.6319,1,,,,,30.3,"Thal 10-20cm; towed seagrass ""island"" in macroalgae ""field"""
3,BB09_003,2009,7/14/2009,9:00,1.8,80,149.6,2,0.25,0,0,0.25,10,NA,NA,0.2,0.55,17034.3531,113.866,1.8,3.4,12,5,1,-82.7319,28.4163,1,,,,,30.4,Thal <= 10cm
4,BB09_004,2009,6/26/2009,10:10,5.1,79,147.73,1,0.1,0.1,0.05,0.25,20,20,10,0.65,0.1,1875,12.6921,5.1,11.9,0.3,1,5,-83.7782,29.8429,0,,,,,29,HAWR 10cm; Thal/Syr 10-30cm; temp from depth sounder
5,BB09_006,2009,7/6/2009,12:20,3.4,88,164.56,2,0.25,0.75,0,1,40,60,NA,0,0,17034.3531,103.5145,NA,9.8,3.2,1,2,-82.7903,28.881,1,,,,,,Thal 40cm; Syr 60cm; patches; 15kt wind; 3-4' seas; poor conditions
6,BB09_008,2009,6/25/2009,8:50,3.3,100,187,1,0.6,0,0,0.6,35,NA,NA,0.4,0,19600,104.8128,3.3,10.2,5.8,1,5,-83.9137,29.9265,0,,,,,28,hard bottom; thick Thal30-40cm inter; temp from depth sounder
7,BB09_009,2009,7/14/2009,12:30,3.4,81,151.47,2,0.9,0.05,0,0.95,40,NA,NA,0.05,0,52049.4123,343.6285,3.4,13.6,2.2,1,2,-82.8255,28.4675,1,,,,,30.6,Thal 30-50cm
8,BB09_011,2009,6/24/2009,12:45,3.2,96,179.52,1,0.9,0,0,0.9,15,NA,NA,0.1,0,0,0,3.2,8.5,8,1,5,-83.9694,29.9671,0,,,,,29,Thal 10-20cm; clean video; trawl may have been pulled through sand patch; temp from depth sounder
9,BB09_012,2009,6/30/2009,16:40,2.4,89,166.43,2,0,0.2,0,0.2,,35,,0.8,0,0,0,1.8,5.8,0.5,1,5,-83.4501,29.4989,0,,,,,,Syr 30-40cm; mainly interspersed w/ some patched; poor videoEstimated depth
10,BB09_013,2009,7/8/2009,11:50,3.1,76,142.12,2,0.25,0,0,0.25,25,NA,NA,0.15,0.6,104098.8245,732.4713,3.1,12.7,3.5,1,5,-82.7918,28.5889,1,,,,,29,Thal 20-30cm; small patches (edge); lots of drift
11,BB09_014,2009,7/2/2009,10:00,2.1,87,162.69,1,0.5,0.5,0,1,,NA,NA,0,0,18927.059,116.3382,1.8,1.4,1.6,5,1,-82.8367,29.0986,1,,,,,,SG interspersed with macroalgae; no video
12,BB09_015,2009,6/24/2009,11:30,3.3,99,185.13,2,0,0,0.85,0.85,,NA,10,0.15,0,0,0,3.3,10.4,6.9,1,5,-83.9431,29.9367,0,,,,,29,"HAWR 10cm; ""bleached"" Syr interspersed (nutrients?); temp from depth sounder"
13,BB09_016,2009,6/22/2009,10:50,1.9,87,162.69,1,0.98,0,0,0.98,25,NA,NA,0.02,0,0,0,1.9,4.2,3.1,1,5,-84.0966,30.054,0,30.9,52.7,7,,30.2,Thal 20-30cm; interspersed; good video
14,BB09_017,2009,7/1/2009,11:15,2.2,81,151.47,1,0.55,0.4,0,0.95,40,40,NA,0.05,0,0,0,2.2,6.2,0.9,1,5,-83.3723,29.433,0,,,,,,Thal/Syr 30-50cm; mainly inter w/some patches; Estimated depth/estimated secchi
15,BB09_018,2009,7/9/2009,17:00,1.5,84,157.08,2,0.55,0,0,0.55,17.5,NA,NA,0.3,0.15,4731.7648,30.1233,1.5,2.9,14.2,1,5,-82.6825,28.6561,1,,,,,30.7,Thal 10-25cm; small macroalgae + several Sargassum FAD's; sand inter w/some large patches; macro in patches
16,BB09_019,2009,7/16/2009,10:30,2.4,77,143.99,2,0.85,0,0,0.85,20,NA,NA,0.15,0,7570.8236,52.5788,2.4,4.8,8.3,6,1,-82.7894,28.2895,1,,,,,31.9,Thal 10-30cm; sand interspersed; temp from depth sounder
17,BB09_020,2009,6/24/2009,15:45,1.7,85,158.95,1,0.1,0.45,0.2,0.75,17.5,17.5,10,0.05,0.2,138600,871.9723,NA,1.2,13.1,1,5,-83.8607,29.9938,0,,,,,29,Thal/Syr 10-25; other = Halophila 10cm; some interspersed; poor video; temp from depth sounder
18,BB09_023,2009,7/15/2009,7:55,3.5,84,157.08,2,0.98,0.01,0,0.99,40,NA,NA,0.01,0,35961.4121,228.9369,3.5,9,4.7,6,1,-82.8049,28.3865,1,,,,,31.1,Thal 30-50cm
19,BB09_024,2009,6/29/2009,11:45,1.4,79,147.73,1,0.5,0.5,0,1,30,30,,0,0,35961.4121,243.4266,1.4,1.9,4.8,1,5,-83.6031,29.7685,0,,,,,28,Thal/Syr 25-25cm
20,BB09_025,2009,7/14/2009,13:25,2.7,87,162.69,2,0.35,0,0,0.35,30,NA,NA,0.35,0.3,85171.7655,523.5218,2.7,8.7,6.1,1,2,-82.7721,28.4748,1,,,,,30.7,Thal 20-40cm; all in patches
21,BB09_026,2009,7/10/2009,13:40,1.4,76,142.12,2,0.97,0.01,0,0.98,30,NA,NA,0.01,0.01,0,0,1.4,13.5,4.3,2,1,-82.7844,28.7906,1,,,,,34.3,Thal 20-40cm
22,BB09_027,2009,6/23/2009,10:00,1.8,97,181.39,1,0.4,0.6,0,1,40,40,NA,0,0,3800,20.9493,1.8,5.3,12.2,1,5,-83.9362,29.985,0,31.2,53,6.8,,30.4,Thal/Syr 30-50cm; Syr patches + Thal/Syr interspersed
23,BB09_028,2009,7/1/2009,16:00,1.4,83,155.21,1,0.85,0.05,0,0.9,30,30,NA,0.1,0,0,0,1.4,2.8,0.3,1,5,-83.5384,29.6957,0,,,,,,Thal/Syr 25-30cm; beachball-sized sand patches
24,BB09_029,2009,7/9/2009,14:15,3,77,143.99,2,0.6,0,0,0.6,25,NA,NA,0.35,0.05,56781.177,394.3411,3,8.4,8.6,5,1,-82.7399,28.6556,1,,,,,30.7,Thal 10-40cm; macroalgal patches on hardbottom
25,BB09_032,2009,6/23/2009,13:05,1.4,95,177.65,1,0.75,0.2,0,0.95,55,55,NA,0.05,0,35600,200.394,NA,2.2,3.6,1,5,-84.114,30.0717,0,,,,,,Thal/Syr 40-70cm; Syr and sand patches w/ some Thal/Syr interspersed; lots of drift algae; clean video
26,BB09_035,2009,7/16/2009,11:45,2.3,80,149.6,2,0.025,0.95,0,0.975,70,70,NA,0.025,0,9463.5295,63.2589,2.3,5,3.4,6,3,-82.825,28.2325,1,,,,,32,Thal 60-80cm; Syr 60-80cm
27,BB09_036,2009,6/24/2009,14:40,2.2,91,170.17,1,0.05,0.5,0,0.55,35,35,NA,0.45,0,2000,11.753,2.2,3,12.6,1,5,-83.8957,29.9901,0,,,,,29,Thal/Syr 30-40cm; sand patches & interspersed; ; temp from depth sounder
28,BB09_037,2009,7/14/2009,8:25,2,77,143.99,2,0.25,0,0,0.25,10,NA,NA,0.25,0.5,18927.059,131.447,2,3.2,12.1,5,1,-82.7296,28.4226,1,,,,,30.3,Thal <=10cm
29,BB09_039,2009,7/14/2009,9:35,2,77,143.99,2,0.5,0,0,0.5,10,NA,NA,0.45,0.05,17034.3531,118.3023,2,4.3,10.2,1,5,-82.7488,28.4081,1,,,,,30.2,Thal <=10cm
30,BB09_040,2009,6/29/2009,8:30,1.6,80,149.6,1,0.03,0.97,0,1,30,30,NA,0,0,66244.7065,442.8122,1.6,1.2,4,5,6,-83.6312,29.8412,0,,,,,27,Thal/Syr 30cm
31,BB09_041,2009,7/13/2009,12:40,2.7,79,147.73,2,0.6,0,0,0.6,40,NA,NA,0.15,0.25,0,0,2.7,11.5,3,6,1,-82.7983,28.4914,1,,,,,30.2,Thal 40cm
32,BB09_042,2009,7/10/2009,8:35,2.6,71,132.77,2,0.98,0.01,0,0.99,35,NA,NA,0.01,0,0,0,2.6,14.5,2.4,5,1,-82.804,28.7075,1,,,,,32.6,Thal 20-50cm; interspersed sand and Syr
